Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,(주)크레이버코퍼레이션,[ Craver ] 글로벌 뷰티 화장품 브랜드 SKIN1004 데이터 분석 인턴 채용,서울강남구 / 신입·경력 / 학력무관 / 인턴직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50269659&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)멋쟁이사자처럼,[(주)멋쟁이자사처럼] KDT 데이터분석 부트캠프 보조강사,서울종로구 / 경력무관 / 학력무관 / 프리랜서,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50235861&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)두호코퍼레이션,인플루언서 전략/데이터 분석가 모집,서울강남구 / 경력1년↑ / 초대졸↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50351455&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)아데코코리아,[을지로입구/미국계제약사] 전략기획 & 데이터 분석,서울중구 / 경력2년↑ / 대졸↑ / 계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50294550&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)히어로웍스,데이터/AI 기획 및 분석가(신입/경력) 모집,부산해운대구 / 신입·경력 / 초대졸↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50166191&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,쿠팡(주),[쿠팡] Business Analyst (비즈니스 데이터 분석) 경력자,서울송파구 / 경력 5~18년 / 대졸↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50374874&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,안진회계법인,[딜로이트 안진회계법인] 금융기관 데이터 분석 전문가,서울영등포구 / 경력 5~10년 / 대졸↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50221378&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)딜리버드코리아,[딜리버드코리아] 데이터 분석가 / 데이터 사이언티스트 모집,부산해운대구 / 경력 / 학력무관 / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50272945&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)데이터마케팅코리아,[데이터컨설턴트]고객 문제 정의부터 분석까지 리딩할 인재 모집,서울강남구 / 경력3년↑ / 대졸↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50304004&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,제이앤씨(주),[장애인전형/사무직] 데이터 분석 담당 인재 채용,"서울구로구 / 경력무관 / 고졸↑ / 계약직 / 3,440 만원",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50375226&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,넛지헬스케어(주),[넛지헬스케어] 데이터분석가 - 석사/박사,서울강남구 / 경력무관 / 석사↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202924&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)트리플하이엠,[연구소] 온라인 마케팅 데이터 분석 및 설계 (경력),서울금천구 / 경력1년↑ / 대졸↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50306090&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,넛지헬스케어(주),[넛지헬스케어] 데이터분석 담당 산업기능요원 (병역특례),서울강남구 / 경력무관 / 학력무관 / 산업기능요원·현역,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202943&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)크레버스,[크레버스] 브랜드 마케팅팀 데이터 분석 및 기획 채용,서울강남구 / 경력 3~8년 / 학력무관 / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50304696&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,(주)전북은행,CRM마케팅 & 데이터 분석 경력직 모집,전북전주시 덕진구 / 경력3년↑ / 대졸↑ / 계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50320796&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
Saramin,아토씨앤씨,[ATO C&C] AI 빅데이터 분석 및 기획자(신입/경력) 채용,부산해운대구 / 신입·경력 / 초대졸↑ / 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50331011&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=462569ed-5403-4ecb-8563-cfb2da4f1bda
